ID,Exercise,Command,Environment,Commit,ExpectedResult,ActualResult,TimestampUTC,Artifact,Owner,Status
LOCAL-11,Capacitor web Android and iOS synchronization,node --require ./scripts/node-userinfo-shim.cjs ./node_modules/@capacitor/cli/bin/capacitor sync,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,All three targets synchronize without tracked drift,Exit 0 for web Android and iOS with no generated tracked diff,2026-08-09T16:34:04Z,frontend/android and frontend/ios,Native engineering owner,PASS
LOCAL-12,Android debug build,.\gradlew.bat :app:assembleDebug,local-windows,72ef3c4ad7788ad6d89b640b097eec90c1364215,Debug APK assembles,Exit 0 as part of a 186-task successful combined build,2026-08-09T16:34:04Z,frontend/android/app/build/outputs/apk/debug/app-debug.apk SHA256 FAC89296E6BECBA2CA7C0761261C72809215162C0BE65A124C53FE4B85433E1C,Native engineering owner,PASS
LOCAL-13,Android unsigned release-candidate build,.\gradlew.bat :app:assembleRelease,local-windows,72ef3c4ad7788ad6d89b640b097eec90c1364215,Unsigned release APK assembles and lint vital passes,Exit 0 with BUILD SUCCESSFUL in 1 minute 59 seconds and 186 tasks,2026-08-09T16:34:04Z,frontend/android/app/build/outputs/apk/release/app-release-unsigned.apk SHA256 5664279F0158655146EEDF04E1BA478D7A481C171BCD92215E1BA8C96C69052A,Native engineering owner,PASS
LOCAL-14,Current-tree and bundle secret scan,powershell -File scripts\secret-scan.ps1,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,No active credential pattern or project-specific browser credential structure,Exit 0 for 165 tracked and untracked text files with values not printed,2026-08-09T16:34:04Z,Redacted terminal evidence summarized in FINAL_LAUNCH_AUDIT.md,Security owner,PASS
LOCAL-15,Manual mobile and desktop browser walkthrough,Browser walkthrough at 320x700 and 1440x900,local-browser,72ef3c4ad7788ad6d89b640b097eec90c1364215,Major routes and controls have no overflow or console errors,24 route viewport cases passed and a fresh two-viewport Peer tab inspection confirmed exact document widths all five labels unavailable-state name active state and safety-review destination,2026-08-09T17:11:12Z,FINAL_LAUNCH_AUDIT.md manual browser evidence,Accessibility engineering owner,PASS
LOCAL-16,Git diff whitespace validation,git diff --check,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,No whitespace errors,Exit 0 with line-ending notices only,2026-08-09T16:34:04Z,Current uncommitted audit-document diff,Engineering owner,PASS
LOCAL-17,Fail-closed target verifier without secrets,backend\venv\Scripts\python.exe backend\scripts\verify_target_environment.py --environment staging --base-url https://127.0.0.1,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,Verifier refuses to connect without injected DATABASE_URL,Internal exit 2 reported BLOCKED for missing secret-managed DATABASE_URL and harness exit 0 confirmed the expected result,2026-08-09T16:34:04Z,FINAL_LAUNCH_AUDIT.md target-verifier evidence,Release engineering owner,PASS
LOCAL-18,Git-history secret scan,powershell -File scripts\history-secret-scan.ps1,local,72ef3c4ad7788ad6d89b640b097eec90c1364215,No reachable secret-bearing snapshots,Exit 1 with 18 reachable snapshots reported by commit and path only; remediation requires rotation and approved history rewrite,2026-08-09T16:34:04Z,GIT_HISTORY_SECRET_RESPONSE.md,Repository owner,BLOCKED
DEVICE-01,Physical iPhone Safari and installed PWA matrix,REAL_DEVICE_ACCESSIBILITY_TEST_PLAN.md,physical-device,72ef3c4ad7788ad6d89b640b097eec90c1364215,Small and modern iPhones pass browser PWA offline update keyboard cutout and handoff cases,Not executed; no physical iPhone device operator or evidence was provided,2026-08-09T16:34:04Z,Not produced; exercise blocked,Accessibility and mobile QA owner,BLOCKED
DEVICE-02,Physical Android Chrome PWA and Capacitor matrix,REAL_DEVICE_ACCESSIBILITY_TEST_PLAN.md,physical-device,72ef3c4ad7788ad6d89b640b097eec90c1364215,Physical Android passes browser installed PWA Capacitor offline keyboard cutout and handoff cases,Not executed; no physical Android device operator or evidence was provided,2026-08-09T16:34:04Z,Not produced; exercise blocked,Accessibility and mobile QA owner,BLOCKED
DEVICE-03,VoiceOver TalkBack NVDA keyboard zoom large text and reduced motion,REAL_DEVICE_ACCESSIBILITY_TEST_PLAN.md,assistive-technology,72ef3c4ad7788ad6d89b640b097eec90c1364215,Required assistive-technology sessions pass with evidence,Not executed; required devices assistive technology versions and qualified operators were unavailable,2026-08-09T16:34:04Z,Not produced; exercise blocked,Accessibility review owner,BLOCKED
DEVICE-04,Signed Capacitor iOS build on supported macOS and Xcode,REAL_DEVICE_ACCESSIBILITY_TEST_PLAN.md,macos-xcode,72ef3c4ad7788ad6d89b640b097eec90c1364215,Signed iOS release candidate builds installs launches and passes device smoke,Not executed; this Windows host has no supported macOS Xcode signing identity or physical iPhone,2026-08-09T16:34:04Z,Not produced; exercise blocked,iOS release owner,BLOCKED
STG-01,Backed-up migration and schema invariants,python backend\scripts\verify_target_environment.py --environment staging --base-url <url>,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Readiness succeeds and legacy aggregate tables or columns are absent,Not executed; no authorized staging target database backup or window exists,2026-08-09T16:34:04Z,Not produced; exercise blocked,Database owner,BLOCKED
STG-02,PostgreSQL outage and recovery,STAGING_VERIFICATION_RUNBOOK.md section Dependency and readiness,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Readiness removes instance and recovers without false success,Not executed; no authorized staging target or incident window exists,2026-08-09T16:34:04Z,Not produced; exercise blocked,SRE owner,BLOCKED
STG-03,Optional Redis outage and recovery,STAGING_VERIFICATION_RUNBOOK.md section Dependency and readiness,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Required Redis fails closed or deployment records not required,Not executed; deployed Redis requirement and staging service are unknown,2026-08-09T16:34:04Z,Not produced; exercise blocked,SRE owner,BLOCKED
STG-04,Email acceptance rejection timeout and bounce,STAGING_VERIFICATION_RUNBOOK.md section Dependency and readiness,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Delivery states match provider evidence and never overclaim notification,Not executed; no authorized staging mail provider or test recipients exist,2026-08-09T16:34:04Z,Not produced; exercise blocked,Messaging owner,BLOCKED
STG-05,Retention heartbeat and deletion sweep,STAGING_VERIFICATION_RUNBOOK.md section Retention,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Expired rows erased current rows retained and missed or failed sweep alerts,Not executed; no staging scheduler database or monitoring target exists,2026-08-09T16:34:04Z,Not produced; exercise blocked,Privacy operations owner,BLOCKED
STG-06,Concurrency idempotency and abuse limits,STAGING_VERIFICATION_RUNBOOK.md section Retention concurrency abuse and monitoring,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Multiple workers produce one logical mutation and truthful 409 429 or 5xx states,Not executed; no authorized multi-worker staging target exists,2026-08-09T16:34:04Z,Not produced; exercise blocked,Security engineering owner,BLOCKED
STG-07,Monitoring redaction and incident alerts,STAGING_VERIFICATION_RUNBOOK.md section Retention concurrency abuse and monitoring,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Alerts arrive and logs omit bodies PII tokens cookies and authorization,Not executed; no monitoring target sink or on-call owner is assigned,2026-08-09T16:34:04Z,Not produced; exercise blocked,Security operations owner,BLOCKED
STG-08,Backup restore and deletion tombstones,STAGING_VERIFICATION_RUNBOOK.md sections Backup and migration and Key rotation,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Verified restore preserves required tombstones and does not resurrect erased PII,Not executed; no backup system approved dataset or staging database exists,2026-08-09T16:34:04Z,Not produced; exercise blocked,Database and privacy owners,BLOCKED
STG-09,Key rotation recovery and lost-key exercise,STAGING_VERIFICATION_RUNBOOK.md section Key rotation and recovery,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Old signatures fail approved recovery succeeds and no values enter evidence,Not executed; credential rotation and staging key access are not authorized,2026-08-09T16:34:04Z,Not produced; exercise blocked,Security owner,BLOCKED
STG-10,Shutdown rollback and incident exercise,STAGING_VERIFICATION_RUNBOOK.md exit record,staging,72ef3c4ad7788ad6d89b640b097eec90c1364215,Flags fail closed rollback works owners acknowledge incident and shutdown,Not executed; target operators maintenance window and incident owners are unassigned,2026-08-09T16:34:04Z,Not produced; exercise blocked,Release and incident owners,BLOCKED
PROD-01,Production preflight and readiness,python backend\scripts\verify_target_environment.py --environment production --base-url <url> --evidence RELEASE_EVIDENCE_MATRIX.csv,production,72ef3c4ad7788ad6d89b640b097eec90c1364215,Exact staged artifact reports ready after approved migration and configuration,Not executed; staging evidence external approvals and deployment authorization are incomplete,2026-08-09T16:34:04Z,Not produced; exercise blocked,Release owner,BLOCKED
PROD-02,Controlled production canary smoke outage recovery and rollback,PRODUCTION_VERIFICATION_RUNBOOK.md sections Release sequence and Rollback,production,72ef3c4ad7788ad6d89b640b097eec90c1364215,Approved canary and smoke pass with outage recovery rollback and monitoring evidence,Not executed; no production target change window or deployment authorization exists,2026-08-09T16:34:04Z,Not produced; exercise blocked,Release owner,BLOCKED
